Continent,State,City,GeoKey
North America,Ohio,Columbus,133
North America,Virginia,Alexandria,134
North America,Texas,Cedar Park,135
North America,Alaska,Anchorage,136
North America,Wisconsin,Appleton,137
North America,Texas,Arlington,138
North America,Colorado,Aurora,139
North America,Texas,Austin,140
North America,Maryland,Baltimore,141
North America,New Jersey,Bayonne,142
North America,Texas,Beaumont,143
North America,Colorado,Berthoud,144
North America,Maryland,Bethesda,145
North America,Maryland,Annapolis,146
North America,Massachusetts,Boston,147
North America,Montana,Billings,148
North America,Virginia,Chantilly,149
North America,Colorado,Boulder,150
North America,New York,Brooklyn,151
North America,New Jersey,Atlantic City,152
North America,New York,Buffalo,153
North America,Massachusetts,Braintree,154
North America,Massachusetts,Attleboro,155
North America,New Jersey,Cape May,156
North America,Maine,Bangor,157
North America,Maine,Bar Harbor,158
North America,Colorado,Castle Rock,159
North America,South Carolina,Charleston,160
North America,Virginia,Charlottesville,161
North America,Florida,Clearwater,162
North America,Washington,Cheney,163
North America,Washington,Cle Elum,164
North America,Texas,Dallas,165
North America,Connecticut,Darien,166
North America,Texas,Denton,167
North America,Wisconsin,Burlington,168
North America,Florida,Cape Canaveral,169
North America,Colorado,Denver,170
North America,Texas,Desoto,171
North America,New Jersey,East Orange,172
North America,Wisconsin,East Troy,173
North America,Wisconsin,Edgerton,174
North America,Colorado,Englewood,175
North America,New Jersey,Clifton,176
North America,Washington,Fall City,177
North America,Washington,Bothell,178
North America,Massachusetts,Falmouth,179
North America,Wisconsin,Fond Du Lac,180
North America,Wisconsin,Fort Atkinson,181
North America,Texas,Fort Worth,182
North America,Florida,Fort Lauderdale,183
North America,Massachusetts,Framingham,184
North America,Virginia,Fredericksburg,185
North America,Texas,Georgetown,186
North America,New York,Elmira,187
North America,Maryland,Germantown,188
North America,Texas,Grand Prairie,189
North America,Washington,Granger,190
North America,Colorado,Greeley,191
North America,Wisconsin,Green Bay,192
North America,South Carolina,Greenville,193
Asia,Beijing,Beijing,194
North America,Connecticut,Hartford,195
North America,Massachusetts,Haverhill,196
North America,Texas,Hillsboro,197
North America,Colorado,Grand Junction,198
North America,Massachusetts,Hingham,199
North America,Texas,Houston,200
North America,Maryland,Howard,201
North America,Texas,Humble,202
North America,New Jersey,Hackensack,203
North America,New York,Ithaca,204
Europe,North Rhine-Westphalia,Koln,205
North America,Florida,Jacksonville,206
North America,New Jersey,Hoboken,207
North America,New Jersey,Jersey City,208
North America,Washington,Kennewick,209
North America,Massachusetts,Holyoke,210
North America,Florida,Key West,211
North America,Texas,La Porte,212
North America,Colorado,Lafayette,213
Asia,Guangdong,Guangzhou,214
North America,Florida,Lakeland,215
North America,Maine,Lewiston,216
North America,Texas,Lewisville,217
North America,Texas,Longview,218
Asia,Hong Kong,Hong Kong,219
North America,Colorado,Loveland,220
North America,Massachusetts,Lowell,221
North America,Massachusetts,Lynn,222
North America,Massachusetts,Leominster,223
North America,Wisconsin,Madison,224
North America,Wisconsin,Manitowoc,225
North America,Colorado,Littleton,226
North America,Texas,Marshall,227
North America,Virginia,Martinsville,228
North America,Wisconsin,Menasha,229
North America,Florida,Miami,230
North America,Texas,Midland,231
North America,Colorado,Milliken,232
North America,Texas,Minden,233
North America,New Jersey,Montclair,234
North America,New Jersey,Morristown,235
North America,Massachusetts,Nantucket,236
North America,Wisconsin,Milwaukee,237
North America,Florida,Naples,238
North America,Massachusetts,New Bedford,239
North America,New Jersey,New Brunswick,240
North America,Colorado,New Castle,241
North America,Connecticut,New Haven,242
North America,Connecticut,New London,243
North America,New York,New York,244
North America,New Jersey,Newark,245
North America,Virginia,Norfolk,246
North America,Washington,North Bend,247
North America,Massachusetts,Northampton,248
North America,Connecticut,Old Saybrook,249
North America,Texas,Orange,250
North America,California,Cerritos,251
North America,Wisconsin,Oregon,252
North America,Maine,Orono,253
North America,Florida,Orlando,254
North America,Texas,Carrollton,255
North America,Colorado,Parker,256
North America,Maryland,Parkville,257
North America,Wisconsin,Oshkosh,258
North America,Texas,Pasadena,259
North America,New Jersey,Paterson,260
North America,Massachusetts,Pittsfield,261
North America,Texas,Plano,262
North America,New Jersey,Passaic,263
North America,New York,Plattsburgh,264
North America,New York,Poestenkill,265
Asia,Shanghai,Shanghai,266
North America,New York,Oswego,267
North America,Massachusetts,Quincy,268
North America,Wisconsin,Racine,269
North America,Wisconsin,Port Washington,270
North America,Massachusetts,Provincetown,271
North America,Maryland,Ridgely,272
North America,Virginia,Roanoke,273
North America,Texas,Richardson,274
North America,New York,Rochester,275
North America,Texas,Round Rock,276
North America,Texas,San Antonio,277
North America,Utah,Bountiful,278
North America,Texas,Russellville,279
North America,Wisconsin,Sheboygan,280
North America,Texas,Shreveport,281
North America,Georgia,Byron,282
North America,Florida,Sebring,283
North America,Colorado,Sedalia,284
North America,Washington,Snoqualmie,285
North America,Massachusetts,Somerville,286
North America,Maine,South Portland,287
North America,Texas,Spring,288
North America,Wisconsin,Stoughton,289
North America,Washington,Sunnyside,290
North America,Florida,Tallahassee,291
North America,New York,Syracuse,292
North America,Texas,Texas City,293
North America,Florida,Tampa,294
Asia,Xinjiang,Urumqi,295
North America,Colorado,Thornton,296
North America,Washington,Toppenish,297
North America,Washington,Veradale,298
North America,New Jersey,Trenton,299
North America,New Jersey,Vineland,300
North America,Virginia,Virginia Beach,301
North America,Washington,Wapato,302
North America,Connecticut,Waterbury,303
North America,Wisconsin,Waukesha,304
North America,Colorado,Wheat Ridge,305
North America,Virginia,Winchester,306
